Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NC_053450.1	235679	236014	1	plus	feather beta keratin-like	LOC120749497	120749497	protein-coding	XM_040056954.1	XP_039912888.1	111	
NC_053450.1	238747	239082	1	plus	feather beta keratin-like	LOC120749484	120749484	protein-coding	XM_040056933.1	XP_039912867.1	111	
NC_053450.1	241815	242147	1	plus	feather beta keratin-like	LOC120749514	120749514	protein-coding	XM_040056990.2	XP_039912924.1	110	
NC_053450.1	244452	244924	1	plus	feather beta keratin-like	LOC120749461	120749461	protein-coding	XM_040056886.2	XP_039912820.1	111	
NC_053450.1	247173	247806	1	plus	feather beta keratin-like	LOC131378464	131378464	protein-coding	XM_058422256.1	XP_058278239.1	147	
NC_053450.1	250110	250582	1	plus	feather beta keratin-like	LOC120749444	120749444	protein-coding	XM_040056849.2	XP_039912783.1	111	
NC_053450.1	253158	253484	1	plus	feather beta keratin-like	LOC120749544	120749544	protein-coding	XM_040057054.1	XP_039912988.1	108	
NC_053450.1	255803	256111	1	plus	feather beta keratin-like	LOC120749552	120749552	protein-coding	XM_040057065.1	XP_039912999.1	102	
NC_053450.1	268774	269112	1	plus	feather beta keratin-like	LOC120749383	120749383	protein-coding	XM_040056738.1	XP_039912672.1	112	
NC_053450.1	272020	272358	1	plus	feather beta keratin-like	LOC120749409	120749409	protein-coding	XM_040056787.1	XP_039912721.1	112	
NC_053450.1	278575	278913	1	plus	feather beta keratin-like	LOC120749431	120749431	protein-coding	XM_040056822.1	XP_039912756.1	112	
NC_053450.1	288472	288810	1	plus	feather beta keratin-like	LOC120749389	120749389	protein-coding	XM_040056750.1	XP_039912684.1	112	
NC_053450.1	295026	295364	1	plus	feather beta keratin-like	LOC120749374	120749374	protein-coding	XM_040056725.1	XP_039912659.1	112	
NC_053450.1	304892	305200	1	plus	feather beta keratin-like	LOC120749561	120749561	protein-coding	XM_040057079.1	XP_039913013.1	102	
NC_053450.1	311366	311704	1	plus	feather beta keratin-like	LOC120749396	120749396	protein-coding	XM_040056761.1	XP_039912695.1	112	
NC_053450.1	314617	314955	1	plus	feather beta keratin-like	LOC120749402	120749402	protein-coding	XM_040056772.1	XP_039912706.1	112	
NC_053450.1	317867	318205	1	plus	feather beta keratin-like	LOC120749416	120749416	protein-coding	XM_040056797.1	XP_039912731.1	112	
NC_053450.1	324433	324771	1	plus	feather beta keratin-like	LOC120749424	120749424	protein-coding	XM_040056810.1	XP_039912744.1	112	
NC_053450.1	331658	331984	1	plus	feather beta keratin-like	LOC120749572	120749572	protein-coding	XM_040057105.1	XP_039913039.1	108	
NC_053450.1	336113	341775	1	plus	GDP-L-fucose synthase	GFUS	120753111	protein-coding	XM_040065068.2	XP_039921002.1	319	
NC_053450.1	341733	345796	1	minus	uncharacterized LOC120753128	LOC120753128	120753128	protein-coding	XM_040065083.1	XP_039921017.1	285	
NC_053450.1	345907	349249	1	plus	pyrroline-5-carboxylate reductase 3	PYCR3	120753659	protein-coding	XM_040066169.2	XP_039922103.1	271	
NC_053450.1	350464	353324	1	minus	tigger transposable element derived 5	TIGD5	120754710	protein-coding	XM_040068613.2	XP_039924547.2	584	
NC_053450.1	354007	369029	1	plus	eukaryotic translation elongation factor 1 delta	EEF1D	120751841	protein-coding	XM_040062288.1	XP_039918222.1	689	
NC_053450.1	371265	380635	1	plus	nicotinate phosphoribosyltransferase	NAPRT	120751510	protein-coding	XM_040061892.1	XP_039917826.1	524	
NC_053450.1	380914	393760	1	minus	ubiquitin carboxyl-terminal hydrolase CYLD-like	LOC120750976	120750976	protein-coding	XM_040060615.2	XP_039916549.1	784	
NC_053450.1	394941	417972	1	minus	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1-like	LOC120750365	120750365	protein-coding	XM_058420461.1	XP_058276444.1	1295	
NC_053450.1	426506	556456	1	plus	zinc finger CCCH-type containing 3	ZC3H3	120759514	protein-coding	XM_040078847.1	XP_039934781.1	932	
NC_053450.1	560145	562102	1	plus	MAF bZIP transcription factor A	MAFA	120753516	protein-coding	XM_040065804.2	XP_039921738.1	289	
NC_053450.1	756597	783998	1	minus	rhophilin Rho GTPase binding protein 1	RHPN1	120761083	protein-coding	XM_040081957.2	XP_039937891.1	674	
NC_053450.1	786115	806934	1	plus	DNA topoisomerase I mitochondrial	TOP1MT	120753287	protein-coding	XM_040065369.2	XP_039921303.2	1273	
NC_053450.1	836323	840167	1	plus	lymphocyte antigen 6E-like	LOC120757468	120757468	protein-coding	XM_040074890.2	XP_039930824.1	126	
NC_053450.1	843791	848957	1	plus	lymphocyte antigen 6E-like	LOC120763071	120763071	protein-coding	XM_040086121.2	XP_039942055.1	126	
NC_053450.1	853697	858525	1	plus	lymphocyte antigen 6E-like	LOC120758134	120758134	protein-coding	XM_040076027.2	XP_039931961.1	127	
NC_053450.1	869426	879520	1	plus	lymphocyte antigen 6E	LOC120751878	120751878	protein-coding	XM_040062372.2	XP_039918306.1	126	
NC_053450.1	889684	894394	1	plus	ly6/PLAUR domain-containing protein 2-like	LOC120755095	120755095	protein-coding	XM_040069676.2	XP_039925610.1	127	
NC_053450.1	943163	947428	1	minus	prostate stem cell antigen-like	LOC120758707	120758707	protein-coding	XM_040077287.2	XP_039933221.1	122	
NC_053450.1	1166378	1166450	1	plus	transfer RNA phenylalanine (anticodon GAA)	TRNAF-GAA	120764448	tRNA				
NC_053450.1	1171413	1171485	1	plus	transfer RNA phenylalanine (anticodon GAA)	TRNAF-GAA	120764514	tRNA				
NC_053450.1	1184145	1184217	1	minus	transfer RNA phenylalanine (anticodon GAA)	TRNAF-GAA	120764582	tRNA				
NC_053450.1	1185325	1185397	1	minus	transfer RNA phenylalanine (anticodon GAA)	TRNAF-GAA	120764590	tRNA				
NC_053450.1	1202571	1208609	1	plus	activity regulated cytoskeleton associated protein	ARC	120753894	protein-coding	XM_040066709.2	XP_039922643.1	404	
NC_053450.1	1260056	1260138	1	minus	transfer RNA leucine (anticodon CAG)	TRNAL-CAG	120764596	tRNA				
NC_053450.1	1368095	1456020	1	minus	adhesion G protein-coupled receptor B1-like	LOC120759082	120759082	protein-coding	XM_040077987.2	XP_039933921.1	673	
NC_053450.1	1514887	1654532	1	minus	adhesion G protein-coupled receptor B1-like	LOC120755148	120755148	protein-coding	XM_040069785.1	XP_039925719.1	409	
NC_053450.1	1836363	1953556	1	plus	uncharacterized LOC120761352	LOC120761352	120761352	lncRNA	XR_005703608.2			
NC_053450.1	2042520	2318460	1	plus	t-SNARE domain containing 1	TSNARE1	120755279	protein-coding	XM_040070046.2	XP_039925980.1	245	
NC_053450.1	2230341	2235346	1	minus	uncharacterized LOC120761359	LOC120761359	120761359	lncRNA	XR_005703611.2			
NC_053450.1	2594051	2609584	1	plus	uncharacterized LOC120760827	LOC120760827	120760827	lncRNA	XR_005703479.2			
NC_053450.1	2987386	3029292	1	plus	protein tyrosine phosphatase 4A3	PTP4A3	120755942	protein-coding	XM_040071585.2	XP_039927519.1	173	
NC_053450.1	3094281	3105675	1	plus	G protein-coupled receptor 20	GPR20	120752260	protein-coding	XM_040063088.1	XP_039919022.1	353	
NC_053450.1	3149608	3229505	1	plus	solute carrier family 45 member 4	SLC45A4	120752237	protein-coding	XM_040063025.2	XP_039918959.1	787	
NC_053450.1	3273538	3305166	1	minus	DENN domain containing 3	DENND3	120754973	protein-coding	XM_040069389.2	XP_039925323.1	1269	
NC_053450.1	3382145	3572007	1	plus	protein tyrosine kinase 2	PTK2	120762784	protein-coding	XM_040085760.2	XP_039941694.1	1138	
NC_053450.1	3572777	3574066	1	minus	ribosomal protein lateral stalk subunit P1	RPLP1	120764151	protein-coding	XM_040087991.2	XP_039943925.1	114	
NC_053450.1	3581810	3627680	1	plus	argonaute RISC catalytic component 2	AGO2	120749830	protein-coding	XM_040057664.2	XP_039913598.1	863	
NC_053450.1	3641744	3644203	1	minus	chromatin accessibility complex subunit 1	CHRAC1	120754182	protein-coding	XM_040067514.1	XP_039923448.1	136	
NC_053450.1	3648764	3967975	1	plus	trafficking protein particle complex subunit 9	TRAPPC9	120755930	protein-coding	XM_058422961.1	XP_058278944.1	1023	
NC_053450.1	4155991	4244478	1	plus	potassium two pore domain channel subfamily K member 9	KCNK9	120757330	protein-coding	XM_040074589.2	XP_039930523.1	474	
NC_053450.1	4474963	4714884	1	plus	collagen type XXII alpha 1 chain	COL22A1	120753552	protein-coding	XM_040065878.2	XP_039921812.1	1601	
NC_053450.1	4722101	4722901	1	plus	uncharacterized LOC120756051	LOC120756051	120756051	protein-coding	XM_040071745.1	XP_039927679.1	266	
NC_053450.1	4815397	5026649	1	plus	family with sequence similarity 135 member B	FAM135B	120760960	protein-coding	XM_040081750.1	XP_039937684.1	1418	
NC_053450.1	6190991	6284528	1	minus	KH RNA binding domain containing, signal transduction associated 3	KHDRBS3	120762004	protein-coding	XM_040083928.2	XP_039939862.1	344	
NC_053450.1	6615511	6733127	1	plus	zinc finger and AT-hook domain containing	ZFAT	120750740	protein-coding	XM_040059701.2	XP_039915635.1	1241	
NC_053450.1	6897209	6900277	1	minus	uncharacterized LOC120759552	LOC120759552	120759552	lncRNA	XR_005703188.2			
NC_053450.1	7166157	7240457	1	plus	ST3 beta-galactoside alpha-2,3-sialyltransferase 1	ST3GAL1	120761191	protein-coding	XM_040082151.2	XP_039938085.1	342	
NC_053450.1	7271081	7276509	1	plus	uncharacterized LOC131378615	LOC131378615	131378615	lncRNA	XR_009208180.1			
NC_053450.1	7315464	7354791	1	plus	N-myc downstream regulated 1	NDRG1	120750407	protein-coding	XM_040059083.2	XP_039915017.1	402	
NC_053450.1	7365399	7399907	1	minus	cellular communication network factor 4	CCN4	120754341	protein-coding	XM_040067813.2	XP_039923747.1	359	
NC_053450.1	7438901	7590948	1	minus	thyroglobulin	TG	120760146	protein-coding	XM_040080105.2	XP_039936039.1	2765	
NC_053450.1	7476333	7499107	1	plus	Src like adaptor	SLA	120760152	protein-coding	XM_040080113.2	XP_039936047.1	278	
NC_053450.1	7595739	7652631	1	minus	PHD finger protein 20 like 1	PHF20L1	120763926	protein-coding	XM_040087557.1	XP_039943491.1	1086	
NC_053450.1	7665999	7677462	1	plus	transmembrane protein 71	TMEM71	120753782	protein-coding	XM_040066477.1	XP_039922411.1	286	
NC_053450.1	7682097	7729019	1	plus	dynein axonemal assembly factor 11	DNAAF11	120763099	protein-coding	XM_040086178.1	XP_039942112.1	467	
NC_053450.1	7791815	7990052	1	plus	potassium voltage-gated channel subfamily Q member 3	KCNQ3	120759840	protein-coding	XM_040079486.1	XP_039935420.1	850	
NC_053450.1	7995666	8013272	1	plus	HHLA1 neighbor of OC90	HHLA1	120757558	protein-coding	XM_040074974.2	XP_039930908.1	460	
NC_053450.1	8038927	8118907	1	minus	EFR3 homolog A	EFR3A	120750362	protein-coding	XM_040058977.2	XP_039914911.1	820	
NC_053450.1	8162558	8253533	1	plus	uncharacterized LOC120754684	LOC120754684	120754684	lncRNA	XR_005701522.2			
NC_053450.1	8465130	8588895	1	plus	adenylate cyclase 8	ADCY8	120751558	protein-coding	XM_040061569.2	XP_039917503.1	1241	
NC_053450.1	8794132	8920857	1	plus	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1	ASAP1	120761597	protein-coding	XM_040083102.2	XP_039939036.1	1130	
NC_053450.1	8926381	9023674	1	plus	CYFIP related Rac1 interactor B	CYRIB	120750893	protein-coding	XM_040060005.2	XP_039915939.1	324	
NC_053450.1	9422300	9425532	1	plus	uncharacterized LOC120752747	LOC120752747	120752747	lncRNA	XR_005700801.1			
NC_053450.1	9471222	9487278	1	minus	uncharacterized LOC120752741	LOC120752741	120752741	lncRNA	XR_005700799.2			
NC_053450.1	9614609	9709142	1	minus	uncharacterized LOC120752733	LOC120752733	120752733	lncRNA	XR_005700797.1			
NC_053450.1	9763561	9767508	1	minus	MYC proto-oncogene, bHLH transcription factor	MYC	120752847	protein-coding	XM_040064543.2	XP_039920477.1	417	
NC_053450.1	10223755	10227111	1	plus	LRAT domain containing 2	LRATD2	120755951	protein-coding	XM_058422578.1	XP_058278561.1	314	
NC_053450.1	10664436	10669724	1	minus	tribbles pseudokinase 1	TRIB1	120763045	protein-coding	XM_040086043.1	XP_039941977.1	355	
NC_053450.1	10679126	10808626	1	minus	NSE2 (MMS21) homolog, SMC5-SMC6 complex SUMO ligase	NSMCE2	120751003	protein-coding	XM_040060249.1	XP_039916183.1	308	
NC_053450.1	10808655	10833622	1	plus	WASH complex subunit 5	WASHC5	120750994	protein-coding	XM_040060228.2	XP_039916162.1	1159	
NC_053450.1	10847642	10863245	1	minus	squalene epoxidase	SQLE	120751751	protein-coding	XM_040062085.1	XP_039918019.1	573	
NC_053450.1	10938800	11065848	1	plus	MTSS I-BAR domain containing 1	MTSS1	120761646	protein-coding	XM_040083120.1	XP_039939054.1	788	
NC_053450.1	11068360	11072039	1	minus	NADH:ubiquinone oxidoreductase subunit B9	NDUFB9	120756092	protein-coding	XM_040071843.1	XP_039927777.1	208	
NC_053450.1	11071978	11088110	1	plus	TatD DNase domain containing 1	TATDN1	120756082	protein-coding	XM_040071799.2	XP_039927733.1	297	
NC_053450.1	11087561	11095805	1	minus	ring finger protein 139	RNF139	120756072	protein-coding	XM_040071788.1	XP_039927722.1	663	
NC_053450.1	11128298	11160385	1	plus	transmembrane protein 65	TMEM65	120754358	protein-coding	XM_040067832.2	XP_039923766.1	269	
NC_053450.1	11277136	11343526	1	minus	fer-1 like family member 6	FER1L6	120758074	protein-coding	XM_040075882.1	XP_039931816.1	1865	
NC_053450.1	11389346	11416993	1	minus	family with sequence similarity 91 member A1	FAM91A1	120753178	protein-coding	XM_040065187.2	XP_039921121.1	837	
NC_053450.1	11423507	11447422	1	plus	annexin A13	ANXA13	120757067	protein-coding	XM_040074148.1	XP_039930082.1	342	
NC_053450.1	11453442	11474123	1	plus	kelch like family member 38	KLHL38	120751468	protein-coding	XM_040061369.2	XP_039917303.1	580	
NC_053450.1	11489988	11514128	1	plus	F-box protein 32	FBXO32	120764374	protein-coding	XM_040088330.2	XP_039944264.1	355	
NC_053450.1	11524103	11539099	1	minus	N-terminal glutamine amidase 1	NTAQ1	120748594	protein-coding	XM_040055180.2	XP_039911114.1	214	
NC_053450.1	11539031	11569634	1	plus	ATPase family AAA domain containing 2	ATAD2	120748583	protein-coding	XM_040055147.2	XP_039911081.1	1304	
NC_053450.1	11570435	11571688	1	minus	basic salivary proline-rich protein 2-like	LOC120758151	120758151	protein-coding	XM_040076055.1	XP_039931989.1	382	
NC_053450.1	11570956	11598622	1	plus	zinc fingers and homeoboxes 1	ZHX1	120757934	protein-coding	XM_040075687.2	XP_039931621.1	874	
NC_053450.1	11604754	11613965	1	plus	chromosome 1 C8orf76 homolog	C1H8orf76	120757958	protein-coding	XM_040075702.2	XP_039931636.1	396	
NC_053450.1	11621231	11634322	1	minus	family with sequence similarity 83 member A	FAM83A	120754865	protein-coding	XM_040068934.2	XP_039924868.1	471	
NC_053450.1	11634860	11634932	1	plus	transfer RNA methionine (anticodon CAU)	TRNAM-CAU	120764577	tRNA				
NC_053450.1	11636407	11659791	1	minus	TBC1 domain family member 31	TBC1D31	120761751	protein-coding	XM_040083383.2	XP_039939317.1	1079	
NC_053450.1	11659968	11676123	1	plus	derlin 1	DERL1	120761094	protein-coding	XM_040082012.2	XP_039937946.1	251	
NC_053450.1	11690341	11765219	1	minus	zinc fingers and homeoboxes 2	ZHX2	120755152	protein-coding	XM_040069799.1	XP_039925733.1	832	
NC_053450.1	12148810	12166227	1	plus	uncharacterized LOC120759578	LOC120759578	120759578	lncRNA	XR_005703200.1			
NC_053450.1	12218129	12237662	1	plus	hyaluronan synthase 2	HAS2	120754095	protein-coding	XM_040067279.1	XP_039923213.1	553	
NC_053450.1	12530601	12644467	1	plus	syntrophin beta 1	SNTB1	120752529	protein-coding	XM_040063714.2	XP_039919648.1	520	
NC_053450.1	12647803	12676373	1	minus	MDM2 binding protein	MTBP	120752527	protein-coding	XM_040063677.2	XP_039919611.1	877	
NC_053450.1	12676413	12707211	1	plus	mitochondrial ribosomal protein L13	MRPL13	120750974	protein-coding	XM_040060187.2	XP_039916121.1	179	
NC_053450.1	12709659	12827674	1	minus	collagen type XIV alpha 1 chain	COL14A1	120750955	protein-coding	XM_040060144.1	XP_039916078.1	1886	
NC_053450.1	12845998	12924168	1	minus	DEP domain containing MTOR interacting protein	DEPTOR	120760990	protein-coding	XM_040081801.1	XP_039937735.1	397	
NC_053450.1	12940072	12954396	1	plus	DNA replication and sister chromatid cohesion 1	DSCC1	120762311	protein-coding	XM_040084601.2	XP_039940535.1	390	
NC_053450.1	12955015	13013041	1	plus	TATA-box binding protein associated factor 2	TAF2	120751032	protein-coding	XM_040060315.2	XP_039916249.1	1200	
NC_053450.1	13038684	13111530	1	plus	ectonucleotide pyrophosphatase/phosphodiesterase 2	ENPP2	120749125	protein-coding	XM_040056279.2	XP_039912213.2	912	
NC_053450.1	13150797	13158494	1	minus	cellular communication network factor 3	CCN3	120758412	protein-coding	XM_040076624.2	XP_039932558.1	384	
NC_053450.1	13215334	13226519	1	minus	mal, T cell differentiation protein 2	MAL2	120754700	protein-coding	XM_040068591.2	XP_039924525.1	181	
NC_053450.1	13233196	13243933	1	plus	uncharacterized LOC120759864	LOC120759864	120759864	lncRNA	XR_009208376.1			
NC_053450.1	13239008	13259965	1	minus	collectin subfamily member 10	COLEC10	120759854	protein-coding	XM_040079516.1	XP_039935450.1	277	
NC_053450.1	13305156	13321647	1	plus	TNF receptor superfamily member 11b	TNFRSF11B	120763186	protein-coding	XM_040086328.1	XP_039942262.1	402	
NC_053450.1	13417719	13587101	1	plus	sterile alpha motif domain containing 12	SAMD12	120753975	protein-coding	XM_040066961.2	XP_039922895.1	203	
NC_053450.1	13597395	13599509	1	minus	U4/U6 small nuclear ribonucleoprotein Prp3-like	LOC120763699	120763699	pseudogene				
NC_053450.1	13618855	13621214	1	minus	uncharacterized LOC120758768	LOC120758768	120758768	lncRNA	XR_005703005.1			
NC_053450.1	13625953	13803554	1	plus	exostosin glycosyltransferase 1	EXT1	120758554	protein-coding	XM_040076923.2	XP_039932857.1	741	
NC_053450.1	13891113	13912054	1	minus	mediator of RNA polymerase II transcription subunit 30	LOC120761447	120761447	protein-coding	XM_040082693.2	XP_039938627.1	179	
NC_053450.1	13949272	13970971	1	minus	mediator of RNA polymerase II transcription subunit 30	LOC120761627	120761627	protein-coding	XM_040083057.2	XP_039938991.1	179	
NC_053450.1	13993293	14004749	1	minus	uncharacterized LOC120755689	LOC120755689	120755689	lncRNA	XR_005701864.2			
NC_053450.1	14005296	14007199	1	plus	uncharacterized LOC120756947	LOC120756947	120756947	lncRNA	XR_005702315.1			
NC_053450.1	14133547	14153586	1	minus	solute carrier family 30 member 8	SLC30A8	120757839	protein-coding	XM_040075492.1	XP_039931426.1	388	
NC_053450.1	14271650	14293303	1	plus	RAD21 cohesin complex component	RAD21	120751523	protein-coding	XM_040061497.2	XP_039917431.1	631	
NC_053450.1	14320871	14325357	1	minus	UTP23 small subunit processome component	UTP23	120753354	protein-coding	XM_040065461.2	XP_039921395.1	248	
NC_053450.1	14338778	14430033	1	plus	eukaryotic translation initiation factor 3 subunit H	EIF3H	120758779	protein-coding	XM_040077417.2	XP_039933351.1	348	
NC_053450.1	14550868	14552293	1	plus	uncharacterized LOC120763918	LOC120763918	120763918	lncRNA	XR_005704147.2			
NC_053450.1	14768792	14768897	1	minus	U6 spliceosomal RNA	LOC120764445	120764445	snRNA	XR_005704221.1			
NC_053450.1	14810672	14815134	1	minus	uncharacterized LOC120751957	LOC120751957	120751957	lncRNA	XR_005700559.2			
NC_053450.1	14825917	15035216	1	plus	transcriptional repressor GATA binding 1	TRPS1	120751931	protein-coding	XM_040062478.2	XP_039918412.1	1294	
NC_053450.1	15377725	15389866	1	minus	uncharacterized LOC120761336	LOC120761336	120761336	lncRNA	XR_005703600.2			
NC_053450.1	15812581	16424704	1	plus	CUB and Sushi multiple domains 3	CSMD3	120755554	protein-coding	XM_040070587.2	XP_039926521.1	3706	
NC_053450.1	17467044	17478586	1	plus	potassium voltage-gated channel modifier subfamily V member 1	KCNV1	120753665	protein-coding	XM_040066183.2	XP_039922117.1	506	
NC_053450.1	17606299	17646879	1	plus	syntabulin	SYBU	120761462	protein-coding	XM_040082728.2	XP_039938662.1	654	
NC_053450.1	17651684	17669896	1	minus	estrogen receptor binding site associated antigen 9	EBAG9	120757072	protein-coding	XM_040074161.2	XP_039930095.1	213	
NC_053450.1	17683380	17687891	1	minus	ENY2 transcription and export complex 2 subunit	ENY2	120751891	protein-coding	XM_040062406.2	XP_039918340.1	96	
NC_053450.1	17685683	17726860	1	plus	NudC domain containing 1	NUDCD1	120751885	protein-coding	XM_040062387.2	XP_039918321.1	587	
NC_053450.1	17706105	17706177	1	minus	transfer RNA lysine (anticodon CUU)	TRNAK-CUU	120764600	tRNA				
NC_053450.1	17744756	17756822	1	minus	thyrotropin releasing hormone receptor	TRHR	120755695	protein-coding	XM_040071058.2	XP_039926992.1	402	
NC_053450.1	17822565	17825031	1	plus	transmembrane protein 74	TMEM74	120763628	protein-coding	XM_040087073.1	XP_039943007.1	311	
NC_053450.1	17907711	17943890	1	minus	ER membrane protein complex subunit 2	EMC2	120754173	protein-coding	XM_040067495.2	XP_039923429.1	313	
NC_053450.1	18016096	18038117	1	plus	eukaryotic translation initiation factor 3 subunit E	EIF3E	120760357	protein-coding	XM_040080506.1	XP_039936440.1	462	
NC_053450.1	18063106	18168227	1	plus	R-spondin 2	RSPO2	120753669	protein-coding	XM_040066198.2	XP_039922132.1	241	
NC_053450.1	18316623	18473282	1	plus	angiopoietin 1	ANGPT1	120753491	protein-coding	XM_040065768.2	XP_039921702.1	498	
NC_053450.1	18419088	18422716	1	minus	uncharacterized LOC120753495	LOC120753495	120753495	lncRNA	XR_005701117.2			
NC_053450.1	18584932	18593236	1	plus	uncharacterized LOC120757136	LOC120757136	120757136	lncRNA	XR_005702377.2			
NC_053450.1	18637375	18644701	1	plus	actin binding Rho activating protein	ABRA	120763477	protein-coding	XM_040086811.1	XP_039942745.1	409	
NC_053450.1	18647838	18918796	1	minus	oxidation resistance 1	OXR1	120762193	protein-coding	XM_040084317.2	XP_039940251.1	896	
NC_053450.1	18863897	18863979	1	plus	transfer RNA leucine (anticodon CAG)	TRNAL-CAG	120764639	tRNA				
NC_053450.1	19068530	19070803	1	plus	uncharacterized LOC131378695	LOC131378695	131378695	protein-coding	XM_058423336.1	XP_058279319.1	226	
NC_053450.1	19087981	19395139	1	minus	zinc finger protein, FOG family member 2	ZFPM2	120754859	protein-coding	XM_040068921.2	XP_039924855.1	1151	
NC_053450.1	19558887	19605443	1	minus	uncharacterized LOC120762292	LOC120762292	120762292	lncRNA	XR_005703877.2			
NC_053450.1	19657824	19709166	1	plus	LDL receptor related protein 12	LRP12	120753958	protein-coding	XM_040066904.2	XP_039922838.1	857	
NC_053450.1	19716111	19747129	1	plus	dihydropyrimidinase	DPYS	120752596	protein-coding	XM_040063905.2	XP_039919839.1	507	
